consulta,tipo_api,tempo_ms,tamanho_bytes,timestamp
Consulta 3 - Complexa,REST,3166.56,139701,2025-11-26T14:15:12.341146
Consulta 3 - Complexa,GraphQL,1061.38,1003,2025-11-26T14:15:14.405032
Consulta 3 - Complexa,GraphQL,1075.71,1003,2025-11-26T14:15:16.483738
Consulta 3 - Complexa,GraphQL,947.85,1003,2025-11-26T14:15:18.433362
Consulta 3 - Complexa,REST,3140.85,139701,2025-11-26T14:15:22.575217
Consulta 3 - Complexa,REST,2991.73,139701,2025-11-26T14:15:26.568310
Consulta 3 - Complexa,REST,3119.39,139701,2025-11-26T14:15:30.689208
Consulta 3 - Complexa,GraphQL,958.0,1003,2025-11-26T14:15:32.653383
Consulta 3 - Complexa,REST,3265.14,139701,2025-11-26T14:15:36.919095
Consulta 3 - Complexa,GraphQL,1119.01,1003,2025-11-26T14:15:39.041009
Consulta 3 - Complexa,REST,3184.71,139701,2025-11-26T14:15:43.227290
Consulta 3 - Complexa,GraphQL,998.68,1003,2025-11-26T14:15:45.227823
Consulta 3 - Complexa,REST,2897.81,139701,2025-11-26T14:15:49.127467
Consulta 3 - Complexa,GraphQL,1120.82,1003,2025-11-26T14:15:51.250778
Consulta 3 - Complexa,REST,3054.94,139701,2025-11-26T14:15:55.306808
Consulta 3 - Complexa,GraphQL,883.54,1003,2025-11-26T14:15:57.192352
Consulta 3 - Complexa,REST,3258.75,139701,2025-11-26T14:16:01.451581
Consulta 3 - Complexa,GraphQL,1049.11,1003,2025-11-26T14:16:03.502663
Consulta 3 - Complexa,REST,3128.34,138736,2025-11-26T14:16:07.632315
Consulta 3 - Complexa,GraphQL,931.0,1003,2025-11-26T14:16:09.565820
Consulta 3 - Complexa,GraphQL,1006.14,1003,2025-11-26T14:16:11.573643
Consulta 3 - Complexa,REST,2849.96,138736,2025-11-26T14:16:15.424445
Consulta 3 - Complexa,REST,3248.72,138736,2025-11-26T14:16:19.674161
Consulta 3 - Complexa,REST,2991.11,138736,2025-11-26T14:16:23.666269
Consulta 3 - Complexa,GraphQL,913.67,1003,2025-11-26T14:16:25.581965
Consulta 3 - Complexa,GraphQL,1120.65,1003,2025-11-26T14:16:27.705315
Consulta 3 - Complexa,REST,3091.38,138736,2025-11-26T14:16:31.797369
Consulta 3 - Complexa,GraphQL,1047.64,1003,2025-11-26T14:16:33.847483
