consulta,tipo_api,tempo_ms,tamanho_bytes,timestamp,numero_consulta,complexidade,num_endpoints,data,hora,minuto,periodo_dia,ordem_execucao
Consulta 2 - Média,GraphQL,601.01,1444,2025-11-26 14:11:59.237972,2,Média,2,2025-11-26,14,11,Tarde,64
Consulta 2 - Média,REST,1344.0,42084,2025-11-26 14:12:01.583265,2,Média,2,2025-11-26,14,12,Tarde,65
Consulta 2 - Média,GraphQL,672.3,1444,2025-11-26 14:12:03.257550,2,Média,2,2025-11-26,14,12,Tarde,66
Consulta 2 - Média,GraphQL,625.09,1444,2025-11-26 14:12:04.884646,2,Média,2,2025-11-26,14,12,Tarde,67
Consulta 2 - Média,GraphQL,561.02,1444,2025-11-26 14:12:06.447662,2,Média,2,2025-11-26,14,12,Tarde,68
Consulta 2 - Média,REST,1374.42,42084,2025-11-26 14:12:08.823151,2,Média,2,2025-11-26,14,12,Tarde,69
Consulta 2 - Média,REST,1403.71,42084,2025-11-26 14:12:11.228438,2,Média,2,2025-11-26,14,12,Tarde,70
Consulta 2 - Média,GraphQL,565.99,1444,2025-11-26 14:12:12.796728,2,Média,2,2025-11-26,14,12,Tarde,71
Consulta 2 - Média,GraphQL,540.01,1444,2025-11-26 14:12:14.338760,2,Média,2,2025-11-26,14,12,Tarde,72
Consulta 2 - Média,GraphQL,593.37,1444,2025-11-26 14:12:15.934813,2,Média,2,2025-11-26,14,12,Tarde,73
Consulta 2 - Média,REST,1341.85,42084,2025-11-26 14:12:18.278116,2,Média,2,2025-11-26,14,12,Tarde,74
Consulta 2 - Média,REST,1398.4,42084,2025-11-26 14:12:20.677454,2,Média,2,2025-11-26,14,12,Tarde,75
Consulta 2 - Média,REST,1334.94,42084,2025-11-26 14:12:23.013392,2,Média,2,2025-11-26,14,12,Tarde,76
Consulta 2 - Média,REST,1377.59,42084,2025-11-26 14:12:25.392025,2,Média,2,2025-11-26,14,12,Tarde,77
Consulta 2 - Média,REST,1464.0,42084,2025-11-26 14:12:27.858536,2,Média,2,2025-11-26,14,12,Tarde,78
Consulta 2 - Média,GraphQL,539.06,1444,2025-11-26 14:12:29.399536,2,Média,2,2025-11-26,14,12,Tarde,79
