name,owner,url,stars,age_days,merged_prs,total_releases,days_since_update,primary_language,total_issues,closed_issues,closed_issues_ratio,forks,description
dokku,dokku,https://github.com/dokku/dokku,31101,4469,4170,303,0,Shell,2798,2753,0.9839170836311651,1992,A docker-powered PaaS that helps you build and manage the lifecycle of applications
1Panel,1Panel-dev,https://github.com/1Panel-dev/1Panel,31079,1141,3889,97,0,Go,5445,4881,0.8964187327823692,2719,"🔥 1Panel provides an intuitive web interface and MCP Server to manage websites, files, containers, databases, and LLMs on a Linux server."
sharp,lovell,https://github.com/lovell/sharp,31055,4397,303,99,1,JavaScript,3986,3868,0.9703963873557451,1350,"High performance Node.js image processing, the fastest module to resize JPEG, PNG, WebP, AVIF and TIFF images. Uses the libvips library."
Blog,mqyqingfeng,https://github.com/mqyqingfeng/Blog,31046,3095,3,0,174,Not specified,361,100,0.2770083102493075,4687,冴羽写博客的地方，预计写四个系列：JavaScript深入系列、JavaScript专题系列、ES6系列、React系列。
OCRmyPDF,ocrmypdf,https://github.com/ocrmypdf/OCRmyPDF,31037,4274,153,41,15,Python,1270,1137,0.8952755905511811,2149,"OCRmyPDF adds an OCR text layer to scanned PDF files, allowing them to be searched"
filebrowser,filebrowser,https://github.com/filebrowser/filebrowser,31013,3644,609,97,3,Go,2754,2736,0.9934640522875817,3478,📂 Web File Browser
MonitorControl,MonitorControl,https://github.com/MonitorControl/MonitorControl,31012,2908,216,26,39,Swift,988,974,0.9858299595141701,885,🖥 Control your display's brightness & volume on your Mac as if it was a native Apple Display. Use Apple Keyboard keys or custom shortcuts. Shows the native macOS OSDs.
Xray-core,XTLS,https://github.com/XTLS/Xray-core,30990,1758,1029,92,0,Go,2563,2553,0.9960983222785798,4544,"Xray, Penetrates Everything. Also the best v2ray-core. Where the magic happens. An open platform for various uses."
croc,schollz,https://github.com/schollz/croc,30987,2877,238,175,1,Go,540,530,0.9814814814814815,1233,Easily and securely send things from one computer to another :crocodile: :package:
dotfiles,mathiasbynens,https://github.com/mathiasbynens/dotfiles,30978,5111,44,0,393,Shell,393,255,0.648854961832061,8707,":wrench: .files, including ~/.macos — sensible hacker defaults for macOS"
lede,coolsnowwolf,https://github.com/coolsnowwolf/lede,30962,2918,2021,6,0,C,9161,8396,0.9164938325510316,19559,Lean's LEDE source
k9s,derailed,https://github.com/derailed/k9s,30911,2412,849,248,0,Go,2144,1745,0.8138992537313433,1948,🐶 Kubernetes CLI To Manage Your Clusters In Style!
jQuery-File-Upload,blueimp,https://github.com/blueimp/jQuery-File-Upload,30884,5389,119,0,831,PHP,3307,3258,0.9851829452676142,7871,"File Upload widget with multiple file selection, drag&drop support, progress bar, validation and preview images, audio and video for jQuery. Supports cross-domain, chunked and resumable file uploads. Works with any server-side platform (Google App Engine, PHP, Python, Ruby on Rails, Java, etc.) that supports standard HTML form file uploads."
minikube,kubernetes,https://github.com/kubernetes/minikube,30883,3427,8825,151,0,Go,10137,9636,0.9505770938147381,5049,Run Kubernetes locally
headscale,juanfont,https://github.com/juanfont/headscale,30878,1899,1060,124,2,Go,1098,1003,0.9134790528233151,1655,"An open source, self-hosted implementation of the Tailscale control server"
khoj,khoj-ai,https://github.com/khoj-ai/khoj,30848,1478,475,160,2,Python,553,477,0.8625678119349005,1780,"Your AI second brain. Self-hostable. Get answers from the web or your docs. Build custom agents, schedule automations, do deep research. Turn any online or local LLM into your personal, autonomous AI (gpt, claude, gemini, llama, qwen, mistral). Get started - free."
textual,Textualize,https://github.com/Textualize/textual,30828,1608,2190,187,0,Python,2268,2082,0.917989417989418,966,The lean application framework for Python.  Build sophisticated user interfaces with a simple Python API. Run your apps in the terminal and a web browser.
awesome-sysadmin,awesome-foss,https://github.com/awesome-foss/awesome-sysadmin,30816,3906,329,0,37,Not specified,102,88,0.8627450980392157,1796,A curated list of amazingly awesome open-source sysadmin resources.
kafka,apache,https://github.com/apache/kafka,30810,5132,11859,0,0,Java,0,0,0,14604,Mirror of Apache Kafka
fish-shell,fish-shell,https://github.com/fish-shell/fish-shell,30797,4863,2149,48,2,Rust,7681,7195,0.9367269886733498,2107,The user-friendly command line shell.
editor.js,codex-team,https://github.com/codex-team/editor.js,30760,3566,863,102,125,TypeScript,1522,922,0.6057818659658344,2197,A block-style editor with clean JSON output
p3c,alibaba,https://github.com/alibaba/p3c,30740,2993,62,0,392,Kotlin,858,697,0.8123543123543123,8068,Alibaba Java Coding Guidelines pmd implements and IDE plugin
interactive-coding-challenges,donnemartin,https://github.com/donnemartin/interactive-coding-challenges,30712,3780,176,0,482,Python,69,32,0.463768115942029,4569,120+ interactive Python coding interview challenges (algorithms and data structures).  Includes Anki flashcards.
Sortable,SortableJS,https://github.com/SortableJS/Sortable,30706,4275,248,30,96,JavaScript,1817,1344,0.7396807925151349,3744,Reorderable drag-and-drop lists for modern browsers and touch devices. No jQuery or framework required.
Trilium,TriliumNext,https://github.com/TriliumNext/Trilium,30695,3024,680,335,0,TypeScript,4624,3516,0.7603806228373703,2038,Build your personal knowledge base with Trilium Notes
UTM,utmapp,https://github.com/utmapp/UTM,30682,2335,267,123,2,Swift,3436,2548,0.7415599534342259,1516,Virtual machines for iOS and macOS
k3s,k3s-io,https://github.com/k3s-io/k3s,30672,2651,4080,888,6,Go,6984,6846,0.9802405498281787,2505,Lightweight Kubernetes
server,nextcloud,https://github.com/nextcloud/server,30662,3379,28368,353,0,PHP,20244,17986,0.8884607785022722,4417,"☁️ Nextcloud server, a safe home for all your data"
exo,exo-explore,https://github.com/exo-explore/exo,30653,435,207,12,165,Python,509,146,0.2868369351669941,2000,Run your own AI cluster at home with everyday devices 📱💻 🖥️⌚
Data-Science-For-Beginners,microsoft,https://github.com/microsoft/Data-Science-For-Beginners,30644,1644,358,0,0,Jupyter Notebook,121,113,0.9338842975206612,6432,"10 Weeks, 20 Lessons, Data Science for All!"
gkd,gkd-kit,https://github.com/gkd-kit/gkd,30613,791,6,53,0,Kotlin,662,649,0.9803625377643505,1495,"基于无障碍，高级选择器，订阅规则的自定义屏幕点击 Android 应用 | An Android APP with custom screen tapping based on Accessibility, Advanced Selectors, and Subscription Rules"
spring-boot-examples,ityouknow,https://github.com/ityouknow/spring-boot-examples,30591,3223,7,0,654,Java,109,99,0.908256880733945,12349,about learning Spring Boot via examples. Spring Boot 教程、技术栈示例代码，快速简单上手教程。 
calculator,microsoft,https://github.com/microsoft/calculator,30572,2409,900,0,0,C++,1114,718,0.644524236983842,5639,Windows Calculator: A simple yet powerful calculator that ships with Windows
influxdb,influxdata,https://github.com/influxdata/influxdb,30567,4359,10626,94,0,Rust,14045,11974,0.8525453898184407,3640,"Scalable datastore for metrics, events, and real-time analytics"
diffusers,huggingface,https://github.com/huggingface/diffusers,30562,1191,5034,86,0,Python,4987,4422,0.8867054341287347,6282,"🤗 Diffusers: State-of-the-art diffusion models for image, video, and audio generation in PyTorch."
