name,owner,url,stars,age_days,merged_prs,total_releases,days_since_update,primary_language,total_issues,closed_issues,closed_issues_ratio,forks,description
mall,macrozheng,https://github.com/macrozheng/mall,81344,2696,0,3,0,Java,0,0,0,29422,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于Spring Boot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。
core,home-assistant,https://github.com/home-assistant/core,80838,4355,0,10000,0,Python,0,0,0,34734,:house_with_garden: Open source home automation that puts local control and privacy first.
FreeDomain,DigitalPlatDev,https://github.com/DigitalPlatDev/FreeDomain,80658,447,0,0,0,HTML,0,0,0,1486,DigitalPlat FreeDomain: Free Domain For Everyone
FiraCode,tonsky,https://github.com/tonsky/FiraCode,79919,3935,0,29,0,Clojure,0,0,0,3171,Free monospaced font with programming ligatures
bun,oven-sh,https://github.com/oven-sh/bun,79816,1590,0,10000,0,Zig,0,0,0,3265,"Incredibly fast JavaScript runtime, bundler, test runner, and package manager – all in one"
manim,3b1b,https://github.com/3b1b/manim,79655,3804,0,13,0,Python,1212,761,0.6278877887788779,6839,Animation engine for explanatory math videos
spring-boot,spring-projects,https://github.com/spring-projects/spring-boot,78144,4688,42,10000,0,Java,39276,38721,0.9858692331194623,41408,"Spring Boot helps you to create Spring-powered, production-grade applications and services with absolute minimum fuss."
advanced-java,doocs,https://github.com/doocs/advanced-java,78124,2510,84,1,0,Java,147,146,0.9931972789115646,19248,😮 Core Interview Questions & Answers For Experienced Java(Backend) Developers | 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识
devops-exercises,bregman-arie,https://github.com/bregman-arie/devops-exercises,78000,2148,301,0,0,Python,99,64,0.6464646464646465,17495,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions"
system-prompts-and-models-of-ai-tools,x1xhlol,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,77906,168,23,0,0,Unknown,101,54,0.5346534653465347,21816,"FULL v0, Cursor, Manus, Augment Code, Same.dev, Lovable, Devin, Replit Agent, Windsurf Agent, VSCode Agent, Dia Browser, Xcode, Trae AI, Cluely & Orchids.app (And other Open Sourced) System Prompts, Tools & AI Models."
models,tensorflow,https://github.com/tensorflow/models,77622,3485,2338,50,0,Python,7311,6235,0.8528245110108056,45510,Models and examples built with TensorFlow
awesome-for-beginners,MunGell,https://github.com/MunGell/awesome-for-beginners,76786,3588,449,0,0,Unknown,185,174,0.9405405405405406,7364,A list of awesome beginners-friendly projects.
ML-For-Beginners,microsoft,https://github.com/microsoft/ML-For-Beginners,76726,1632,374,0,0,HTML,148,141,0.9527027027027027,17189,"12 weeks, 26 lessons, 52 quizzes, classic Machine Learning for all"
awesome-interview-questions,DopplerHQ,https://github.com/DopplerHQ/awesome-interview-questions,76617,3553,175,0,0,Unknown,61,34,0.5573770491803278,9147,:octocat: A curated awesome list of lists of interview questions. Feel free to contribute! :mortar_board: 
gpt4all,nomic-ai,https://github.com/nomic-ai/gpt4all,76503,877,934,38,0,C++,2185,1487,0.6805491990846682,8253,GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.
LeetCodeAnimation,MisterBooo,https://github.com/MisterBooo/LeetCodeAnimation,76401,2449,62,0,0,Java,0,0,0,14022,Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）
playwright,microsoft,https://github.com/microsoft/playwright,76191,2105,0,10000,0,TypeScript,0,0,0,4478,"Playwright is a framework for Web Testing and Automation. It allows testing Chromium, Firefox and WebKit with a single API. "
netdata,netdata,https://github.com/netdata/netdata,75612,4447,0,10000,0,C,0,0,0,6125,"The fastest path to AI-powered full stack observability, even for lean teams."
Font-Awesome,FortAwesome,https://github.com/FortAwesome/Font-Awesome,75585,4933,0,60,0,JavaScript,0,0,0,12206,"The iconic SVG, font, and CSS toolkit"
